design_credit,year,course_id,gonghak_course_id,major_id,course_category_const,pass_category
0,18,9067,,1,전문교양,인필
0,18,8364,,1,전문교양,인필
0,18,6098,,1,BSM,인필
0,18,2647,,1,BSM,인필
0,18,9912,,1,전공,인필
0,18,10352,,1,전문교양,인필
0,18,9068,,1,전문교양,인필
0,18,304,,1,BSM,인필
1,18,9913,,1,전공,인필
3,18,9914,,1,전공,인필
0,18,10354,,1,전문교양,인필
0,18,9952,,1,전공,인필
1,18,4118,,1,전공,인필
0,18,6237,,1,전공,인선
0,18,10355,,1,전문교양,인필
0,18,9955,,1,BSM,인필
0,18,9954,,1,전공,인필
0,18,3276,,1,전공,인필
1,18,9956,,1,전공,인선
0,18,9957,,1,전공,인선
0,18,5636,,1,전공,인선
1,18,1082,,1,전공,인선
0,18,9959,,1,BSM,인필
0,18,4310,,1,전공,인필
1,18,10084,,1,전공,인필
1,18,7219,,1,전공,인선
1,18,3281,,1,전공,인선
0,18,5246,,1,전공,인선
0,18,7313,,1,전공,인선
1,18,6474,,1,전공,인선
1,18,7640,,1,전공,인선
0,18,9961,,1,BSM,인필
0,18,3284,,1,전공,인필
0,18,4600,,1,전공,인선
0,18,1769,,1,전공,인선
1,18,5617,,1,전공,인선
1,18,6324,,1,전공,인선
2,18,8073,,1,전공,인선
0,18,9962,,1,전공,인선
0,18,4599,,1,전공,인선
0,18,8636,,1,전공,인선
0,18,10440,,1,전공,인선
6,18,9960,,1,전공,인필
1,18,6132,,1,전공,인선
0,18,6208,,1,전공,인선
1,18,6139,,1,전공,인선
0,18,6135,,1,전공,인선
1,18,5618,,1,전공,인선
0,18,4699,,1,전공,인선
0,18,6478,,1,전공,인선
0,18,2505,,1,전공,인선
0,18,9665,,1,전공,인선
0,18,9966,,1,전공,인선
0,18,10112,,1,전공,인선
0,18,9967,,1,전공,인선
0,18,8066,,1,전공,인선
0,18,6566,,1,전공,인선
0,18,6134,,1,전공,인선
0,18,3272,,1,전공,인선
0,18,9973,,1,전공,인선
0,19,9067,,1,전문교양,인필
0,19,10351,,1,전문교양,인필
0,19,9790,,1,전문교양,인필
0,19,6098,,1,BSM,인필
0,19,2647,,1,BSM,인필
0,19,9912,,1,전공,인필
